MTU (CET/CEST),Price,Currency
01.01.2024 00:00 - 01.01.2024 01:00,16.99,EUR
01.01.2024 01:00 - 01.01.2024 02:00,28.14,EUR
01.01.2024 02:00 - 01.01.2024 03:00,26.66,EUR
01.01.2024 03:00 - 01.01.2024 04:00,4.14,EUR
01.01.2024 04:00 - 01.01.2024 05:00,-0.03,EUR
01.01.2024 05:00 - 01.01.2024 06:00,-0.02,EUR
01.01.2024 06:00 - 01.01.2024 07:00,-0.05,EUR
01.01.2024 07:00 - 01.01.2024 08:00,-0.02,EUR
01.01.2024 08:00 - 01.01.2024 09:00,0,EUR
01.01.2024 09:00 - 01.01.2024 10:00,0.08,EUR
01.01.2024 10:00 - 01.01.2024 11:00,41.34,EUR
01.01.2024 11:00 - 01.01.2024 12:00,43.51,EUR
01.01.2024 12:00 - 01.01.2024 13:00,43.02,EUR
01.01.2024 13:00 - 01.01.2024 14:00,44.29,EUR
01.01.2024 14:00 - 01.01.2024 15:00,46.24,EUR
01.01.2024 15:00 - 01.01.2024 16:00,50.61,EUR
01.01.2024 16:00 - 01.01.2024 17:00,59.47,EUR
01.01.2024 17:00 - 01.01.2024 18:00,64.99,EUR
01.01.2024 18:00 - 01.01.2024 19:00,61.74,EUR
01.01.2024 19:00 - 01.01.2024 20:00,61.27,EUR
01.01.2024 20:00 - 01.01.2024 21:00,59.97,EUR
01.01.2024 21:00 - 01.01.2024 22:00,54.92,EUR
01.01.2024 22:00 - 01.01.2024 23:00,47.65,EUR
01.01.2024 23:00 - 02.01.2024 00:00,35.55,EUR
02.01.2024 00:00 - 02.01.2024 01:00,30.59,EUR
02.01.2024 01:00 - 02.01.2024 02:00,20.07,EUR
02.01.2024 02:00 - 02.01.2024 03:00,31.03,EUR
02.01.2024 03:00 - 02.01.2024 04:00,18.39,EUR
02.01.2024 04:00 - 02.01.2024 05:00,11.08,EUR
02.01.2024 05:00 - 02.01.2024 06:00,13.78,EUR
02.01.2024 06:00 - 02.01.2024 07:00,47.63,EUR
02.01.2024 07:00 - 02.01.2024 08:00,58.1,EUR
02.01.2024 08:00 - 02.01.2024 09:00,65.67,EUR
02.01.2024 09:00 - 02.01.2024 10:00,64.73,EUR
02.01.2024 10:00 - 02.01.2024 11:00,68.98,EUR
02.01.2024 11:00 - 02.01.2024 12:00,73.54,EUR
02.01.2024 12:00 - 02.01.2024 13:00,78.16,EUR
02.01.2024 13:00 - 02.01.2024 14:00,78.87,EUR
02.01.2024 14:00 - 02.01.2024 15:00,79.24,EUR
02.01.2024 15:00 - 02.01.2024 16:00,79.96,EUR
02.01.2024 16:00 - 02.01.2024 17:00,81.46,EUR
02.01.2024 17:00 - 02.01.2024 18:00,80.92,EUR
02.01.2024 18:00 - 02.01.2024 19:00,74.95,EUR
02.01.2024 19:00 - 02.01.2024 20:00,63.18,EUR
02.01.2024 20:00 - 02.01.2024 21:00,57.11,EUR
02.01.2024 21:00 - 02.01.2024 22:00,46.89,EUR
02.01.2024 22:00 - 02.01.2024 23:00,40,EUR
02.01.2024 23:00 - 03.01.2024 00:00,21.81,EUR
03.01.2024 00:00 - 03.01.2024 01:00,1.04,EUR
03.01.2024 01:00 - 03.01.2024 02:00,-0.01,EUR
03.01.2024 02:00 - 03.01.2024 03:00,0,EUR
03.01.2024 03:00 - 03.01.2024 04:00,-0.01,EUR
03.01.2024 04:00 - 03.01.2024 05:00,0,EUR
03.01.2024 05:00 - 03.01.2024 06:00,0.02,EUR
03.01.2024 06:00 - 03.01.2024 07:00,1.09,EUR
03.01.2024 07:00 - 03.01.2024 08:00,40.59,EUR
03.01.2024 08:00 - 03.01.2024 09:00,59.61,EUR
03.01.2024 09:00 - 03.01.2024 10:00,60.61,EUR
03.01.2024 10:00 - 03.01.2024 11:00,57,EUR
03.01.2024 11:00 - 03.01.2024 12:00,54.89,EUR
03.01.2024 12:00 - 03.01.2024 13:00,59.8,EUR
03.01.2024 13:00 - 03.01.2024 14:00,58.86,EUR
03.01.2024 14:00 - 03.01.2024 15:00,60.86,EUR
03.01.2024 15:00 - 03.01.2024 16:00,67.18,EUR
03.01.2024 16:00 - 03.01.2024 17:00,73.59,EUR
03.01.2024 17:00 - 03.01.2024 18:00,82.28,EUR
03.01.2024 18:00 - 03.01.2024 19:00,82.97,EUR
03.01.2024 19:00 - 03.01.2024 20:00,79.03,EUR
03.01.2024 20:00 - 03.01.2024 21:00,73.23,EUR
03.01.2024 21:00 - 03.01.2024 22:00,67.41,EUR
03.01.2024 22:00 - 03.01.2024 23:00,65,EUR
03.01.2024 23:00 - 04.01.2024 00:00,58.12,EUR
04.01.2024 00:00 - 04.01.2024 01:00,57.3,EUR
04.01.2024 01:00 - 04.01.2024 02:00,50.46,EUR
04.01.2024 02:00 - 04.01.2024 03:00,40,EUR
04.01.2024 03:00 - 04.01.2024 04:00,25.48,EUR
04.01.2024 04:00 - 04.01.2024 05:00,35,EUR
04.01.2024 05:00 - 04.01.2024 06:00,57.73,EUR
04.01.2024 06:00 - 04.01.2024 07:00,72.65,EUR
04.01.2024 07:00 - 04.01.2024 08:00,85.02,EUR
04.01.2024 08:00 - 04.01.2024 09:00,91.47,EUR
04.01.2024 09:00 - 04.01.2024 10:00,94.2,EUR
04.01.2024 10:00 - 04.01.2024 11:00,91.61,EUR
04.01.2024 11:00 - 04.01.2024 12:00,90.03,EUR
04.01.2024 12:00 - 04.01.2024 13:00,86.3,EUR
04.01.2024 13:00 - 04.01.2024 14:00,85.96,EUR
04.01.2024 14:00 - 04.01.2024 15:00,92.11,EUR
04.01.2024 15:00 - 04.01.2024 16:00,98.62,EUR
04.01.2024 16:00 - 04.01.2024 17:00,105.73,EUR
04.01.2024 17:00 - 04.01.2024 18:00,133.23,EUR
04.01.2024 18:00 - 04.01.2024 19:00,144.65,EUR
04.01.2024 19:00 - 04.01.2024 20:00,125,EUR
04.01.2024 20:00 - 04.01.2024 21:00,103.59,EUR
04.01.2024 21:00 - 04.01.2024 22:00,100.01,EUR
04.01.2024 22:00 - 04.01.2024 23:00,94.86,EUR
04.01.2024 23:00 - 05.01.2024 00:00,88.83,EUR
05.01.2024 00:00 - 05.01.2024 01:00,86.08,EUR
05.01.2024 01:00 - 05.01.2024 02:00,80.51,EUR
05.01.2024 02:00 - 05.01.2024 03:00,77.01,EUR
05.01.2024 03:00 - 05.01.2024 04:00,73.21,EUR
05.01.2024 04:00 - 05.01.2024 05:00,74.05,EUR
05.01.2024 05:00 - 05.01.2024 06:00,76.03,EUR
05.01.2024 06:00 - 05.01.2024 07:00,81,EUR
05.01.2024 07:00 - 05.01.2024 08:00,87,EUR
05.01.2024 08:00 - 05.01.2024 09:00,89.57,EUR
05.01.2024 09:00 - 05.01.2024 10:00,94.93,EUR
05.01.2024 10:00 - 05.01.2024 11:00,96.28,EUR
05.01.2024 11:00 - 05.01.2024 12:00,98.22,EUR
05.01.2024 12:00 - 05.01.2024 13:00,92.24,EUR
05.01.2024 13:00 - 05.01.2024 14:00,91.54,EUR
05.01.2024 14:00 - 05.01.2024 15:00,96.41,EUR
05.01.2024 15:00 - 05.01.2024 16:00,100.05,EUR
05.01.2024 16:00 - 05.01.2024 17:00,102.97,EUR
05.01.2024 17:00 - 05.01.2024 18:00,107.38,EUR
05.01.2024 18:00 - 05.01.2024 19:00,108.45,EUR
05.01.2024 19:00 - 05.01.2024 20:00,103.96,EUR
05.01.2024 20:00 - 05.01.2024 21:00,100.09,EUR
05.01.2024 21:00 - 05.01.2024 22:00,94.19,EUR
05.01.2024 22:00 - 05.01.2024 23:00,94.92,EUR
05.01.2024 23:00 - 06.01.2024 00:00,86.8,EUR
06.01.2024 00:00 - 06.01.2024 01:00,82.25,EUR
06.01.2024 01:00 - 06.01.2024 02:00,80.2,EUR
06.01.2024 02:00 - 06.01.2024 03:00,76.13,EUR
06.01.2024 03:00 - 06.01.2024 04:00,73.01,EUR
06.01.2024 04:00 - 06.01.2024 05:00,73.01,EUR
06.01.2024 05:00 - 06.01.2024 06:00,74.59,EUR
06.01.2024 06:00 - 06.01.2024 07:00,75.1,EUR
06.01.2024 07:00 - 06.01.2024 08:00,81.39,EUR
06.01.2024 08:00 - 06.01.2024 09:00,88.4,EUR
06.01.2024 09:00 - 06.01.2024 10:00,92.23,EUR
06.01.2024 10:00 - 06.01.2024 11:00,97.3,EUR
06.01.2024 11:00 - 06.01.2024 12:00,100.43,EUR
06.01.2024 12:00 - 06.01.2024 13:00,99.16,EUR
06.01.2024 13:00 - 06.01.2024 14:00,95.22,EUR
06.01.2024 14:00 - 06.01.2024 15:00,92.55,EUR
06.01.2024 15:00 - 06.01.2024 16:00,95.09,EUR
06.01.2024 16:00 - 06.01.2024 17:00,99.85,EUR
06.01.2024 17:00 - 06.01.2024 18:00,104.69,EUR
06.01.2024 18:00 - 06.01.2024 19:00,103.84,EUR
06.01.2024 19:00 - 06.01.2024 20:00,99.31,EUR
06.01.2024 20:00 - 06.01.2024 21:00,92.23,EUR
06.01.2024 21:00 - 06.01.2024 22:00,88,EUR
06.01.2024 22:00 - 06.01.2024 23:00,86.75,EUR
06.01.2024 23:00 - 07.01.2024 00:00,80.03,EUR
07.01.2024 00:00 - 07.01.2024 01:00,86.15,EUR
07.01.2024 01:00 - 07.01.2024 02:00,82.46,EUR
07.01.2024 02:00 - 07.01.2024 03:00,76.92,EUR
07.01.2024 03:00 - 07.01.2024 04:00,75.28,EUR
07.01.2024 04:00 - 07.01.2024 05:00,73.33,EUR
07.01.2024 05:00 - 07.01.2024 06:00,73.78,EUR
07.01.2024 06:00 - 07.01.2024 07:00,75.14,EUR
07.01.2024 07:00 - 07.01.2024 08:00,78.04,EUR
07.01.2024 08:00 - 07.01.2024 09:00,81.79,EUR
07.01.2024 09:00 - 07.01.2024 10:00,85.03,EUR
07.01.2024 10:00 - 07.01.2024 11:00,87.15,EUR
07.01.2024 11:00 - 07.01.2024 12:00,89.32,EUR
07.01.2024 12:00 - 07.01.2024 13:00,91.5,EUR
07.01.2024 13:00 - 07.01.2024 14:00,87.52,EUR
07.01.2024 14:00 - 07.01.2024 15:00,85.03,EUR
07.01.2024 15:00 - 07.01.2024 16:00,88.01,EUR
07.01.2024 16:00 - 07.01.2024 17:00,93.42,EUR
07.01.2024 17:00 - 07.01.2024 18:00,101.77,EUR
07.01.2024 18:00 - 07.01.2024 19:00,104.85,EUR
07.01.2024 19:00 - 07.01.2024 20:00,103.55,EUR
07.01.2024 20:00 - 07.01.2024 21:00,100.5,EUR
07.01.2024 21:00 - 07.01.2024 22:00,93.31,EUR
07.01.2024 22:00 - 07.01.2024 23:00,91.17,EUR
07.01.2024 23:00 - 08.01.2024 00:00,83.86,EUR
08.01.2024 00:00 - 08.01.2024 01:00,87.02,EUR
08.01.2024 01:00 - 08.01.2024 02:00,84.32,EUR
08.01.2024 02:00 - 08.01.2024 03:00,81.82,EUR
08.01.2024 03:00 - 08.01.2024 04:00,79.11,EUR
08.01.2024 04:00 - 08.01.2024 05:00,78.48,EUR
08.01.2024 05:00 - 08.01.2024 06:00,82.1,EUR
08.01.2024 06:00 - 08.01.2024 07:00,94.3,EUR
08.01.2024 07:00 - 08.01.2024 08:00,111.1,EUR
